OTU	Domain	Phylum	Class	Order	Family	Genus	Species
3df1d9ef56acaf9da2e11c423207a6b7	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	s__Blautia_Species
ac95b14e25f81e251713b8ef30195606	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485_sp002362485
2e2a24436367be7be0231ffb2dd04e35	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_acidifaciens
2d8bf7b86690754ee7aa14a1494834f7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_acidifaciens
e13f2c254a945b216db35b2bc8f4115e	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	s__Blautia_A_Species
9f8601d46b58846a2373a116a66c12e4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
f864fca28817b5ead50b14aaa192e576	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster_aldenensis
c0a6a9964b63b0997f2fe3bbad504ce0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485_sp002362485
cc91befe699d862c84c7d616c4c841fb	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	s__Clostridium_Species
a204a6d32d9897a6e14715f02a78369b	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	NM07-P-09	NM07-P-09_sp004793665
3c738c132cd36eadf437003d49a82e07	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
11b317bb7b8398e01f87199b4a505f23	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
9220165d6a246cd3102972a40c3bed83	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
ab4a5e5564ad4d1aca71979aba285cad	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
