	Observed	Shannon	Simpson	InvSimpson
X1181.T1	9	1.68002687945909	0.730478216326749	3.71027523776085
X1181.T3	9	1.94770558175458	0.829843307397182	5.8769360446739
X1181.T6	11	1.69173102173952	0.709935086527201	3.44750417424677
X1181.T9	13	2.32778017263039	0.870710784313726	7.73459715639811
X153.T1	11	1.92999683274451	0.797117658097204	4.92896518554146
X153.T3	8	1.69097897541932	0.756812417764726	4.11205206618051
X153.T6	10	1.79635808035306	0.786241337710069	4.67817298858118
X153.T9	11	2.04329325024813	0.836609497553557	6.12030678054732
X2160.T1	10	2.06426204045798	0.847766439909297	6.56885380204066
X2160.T3	7	1.58082823257139	0.745649858872427	3.9315881468233
X2160.T6	10	1.82917708674935	0.785939169056052	4.67156927117531
X2160.T9	11	2.01464307097486	0.837496465265341	6.15371229698376
X2161.T1	5	0.849181948657878	0.389669148835894	1.6384555984556
X2161.T3	11	2.05317354283099	0.836806434073891	6.12769256143823
X2161.T6	9	1.84319232913277	0.78686824845679	4.69193347663763
X2161.T9	11	2.05133465262953	0.839824380165289	6.24314737181554
X3154.T1	10	2.10485488054671	0.858979490052891	7.09116709601362
X3154.T3	7	1.61406011623715	0.729521654096977	3.69715363594593
X3154.T6	8	1.83959011623276	0.813523328165814	5.36260107049311
X3154.T9	12	2.21758036548916	0.876328617641359	8.08594503375121
X3178.T1	10	1.85299603097472	0.798932811345702	4.97346188949475
X3178.T3	7	1.64821638778274	0.751044379340278	4.01678016889131
X3178.T6	11	1.94103486840468	0.810468631897203	5.27617148554337
X3178.T9	13	2.20363155202598	0.86322962962963	7.31152512998267
X3629.T1	10	1.93188512373482	0.812814332811887	5.34228936981081
X3629.T3	9	1.97003972517061	0.840767226917499	6.2801142041399
X3629.T6	12	2.19677724331034	0.865654778161466	7.44350998356958
X3629.T9	13	2.21059873055021	0.863008034026465	7.29969814575248
X4176.T1	9	1.90762395946455	0.804720987654321	5.12087800930609
X4176.T3	7	1.5618077798994	0.709351272278558	3.44057931317835
X4176.T6	10	2.0329698552621	0.831735297669364	5.94301708052246
X4176.T9	15	2.29893916043544	0.876557152983392	8.10091491056955
X9198.T1	11	1.98647838737966	0.819646643988532	5.54467087341816
X9198.T6	10	1.96018151560419	0.825802615933413	5.74061433447099
X9198.T9	16	2.27323155455891	0.848444345436994	6.59823615874571
