	comp1	comp2	comp3	comp4
f__Lachnospiraceae	-0.196876322941223	0.165799735750552	0	0.315128453101363
f__Porphyromonadaceae	0.420435630565282	0.110171011785923	0	-0.107078262847362
f__Bacteroidaceae	0	-0.49585641699268	0	-0.0422173066408009
f__Atopobiaceae	-0.31473056367016	0.0821797012485133	0	0.0975919504905277
f__Clostridiaceae	0	-0.631590049623135	0	0.153845123509062
f__Deferribacteraceae	-0.232304095688095	0.2782456313369	0	0.147626507839245
f__Ruminococcaceae	0	0	0	-0.395412020687431
f__Rikenellaceae	-0.11038806920792	0.00892015443587186	0	-0.19131502422907
f__Clostridiales_vadinBB60_group	0.57498882055415	0	0	0.0486445511395256
f__Lactobacillaceae	0.135512754593998	0.1840072330328	0.22144907866365	0.125555111567654
f__unassigned	-0.0576004413538639	0	-0.653576147857803	0.0857070355213084
f__Bacteroidales_family	-0.0577197082109106	0	-0.671522152504917	0.0742834685140137
f__Aerococcaceae	0.0488313662568483	0	0	0.221004568474216
f__Peptostreptococcaceae	0.0238859290697828	0	0	0.271754673646804
f__Streptococcaceae	0	0	0	0.0608334946303692
f__Bifidobacteriaceae	0	0	-0.269653182628399	-0.280349583748562
f__Moraxellaceae	0.0504842549473081	0	0	0.341483431956115
f__Pseudomonadaceae	0.0778340565394003	0	0	0.393883278708197
f__Staphylococcaceae	0.0545549431675133	0	0	0.274433690802268
f__Enterobacteriaceae	0.499103435686667	0	0	0.0702048917880054
f__Christensenellaceae	0	0	-0.0119868387789712	-0.208382506341616
f__Promicromonosporaceae	0	-0.0701637659912515	0	-0.0318448981463493
f__Bacteria_family	0	-0.438814196505029	0	0.0841935436591893
