	comp1	comp2	comp3	comp4
f__Lachnospiraceae	-0.165724789535509	0.184527799166153	0	0.332094314548367
f__Porphyromonadaceae	0.437058431451222	0.107286917146581	0	-0.0970720141902348
f__Bacteroidaceae	0	-0.489816158846818	0	-0.0561309254002267
f__Atopobiaceae	-0.299215936973356	0.105979142644287	0	0.0496233998606749
f__Clostridiaceae	0	-0.620306909210622	0	0.161504792406435
f__Deferribacteraceae	-0.201722362637036	0.292256284247541	0	0.130259066996957
f__Ruminococcaceae	0	0	0	-0.439160770403555
f__Rikenellaceae	-0.0560902680278371	0.0294987212573025	0	-0.212731744560732
f__Clostridiales_vadinBB60_group	0.604162698349336	0	0	0.102258339132837
f__Lactobacillaceae	0.0908941032871609	0.188499056033667	0.251470889892156	0.126517155097986
f__unassigned	0	0	-0.64510254265079	0.108359405998819
f__Bacteroidales_family	0	0	-0.661549746491413	0.095234318736228
f__Aerococcaceae	0	0	0	0.165603283643305
f__Peptostreptococcaceae	0	0	0	0.22012923098672
f__Streptococcaceae	0	0	0	0.0540912651030383
f__Bifidobacteriaceae	0	0	-0.286155528639336	-0.324533491415191
f__Moraxellaceae	0	0	0	0.305674507282705
f__Pseudomonadaceae	0.0263423045317033	0	0	0.368864419822974
f__Staphylococcaceae	0.00389764060273762	0	0	0.228541915042376
f__Enterobacteriaceae	0.523606342816076	0	0	0.0816771051526534
f__Christensenellaceae	0	0	-0.0327421341488625	-0.251136145665355
f__Promicromonosporaceae	0	-0.0833558054625415	0	-0.0360682075172533
f__Bacteria_family	0	-0.43559488555157	0	0.0966149822861452
